cancer_site,sex,period,age,HSCT,prevalence
All Cancers,Male,10-year,0-54,Belfast HSCT,751
All Cancers,Male,10-year,0-54,Northern HSCT,1157
All Cancers,Male,10-year,0-54,South Eastern HSCT,944
All Cancers,Male,10-year,0-54,Southern HSCT,811
All Cancers,Male,10-year,0-54,Western HSCT,700
All Cancers,Male,10-year,55-64,Belfast HSCT,1094
All Cancers,Male,10-year,55-64,Northern HSCT,1686
All Cancers,Male,10-year,55-64,South Eastern HSCT,1375
All Cancers,Male,10-year,55-64,Southern HSCT,1181
All Cancers,Male,10-year,55-64,Western HSCT,1020
All Cancers,Male,10-year,65-74,Belfast HSCT,1890
All Cancers,Male,10-year,65-74,Northern HSCT,2912
All Cancers,Male,10-year,65-74,South Eastern HSCT,2376
All Cancers,Male,10-year,65-74,Southern HSCT,2040
All Cancers,Male,10-year,65-74,Western HSCT,1761
All Cancers,Male,10-year,75+,Belfast HSCT,2512
All Cancers,Male,10-year,75+,Northern HSCT,3869
All Cancers,Male,10-year,75+,South Eastern HSCT,3157
All Cancers,Male,10-year,75+,Southern HSCT,2711
All Cancers,Male,10-year,75+,Western HSCT,2340
Bladder Cancer,Male,10-year,0-54,Belfast HSCT,4
Bladder Cancer,Male,10-year,0-54,Northern HSCT,10
Bladder Cancer,Male,10-year,0-54,South Eastern HSCT,6
Bladder Cancer,Male,10-year,0-54,Southern HSCT,4
Bladder Cancer,Male,10-year,0-54,Western HSCT,5
Bladder Cancer,Male,10-year,55-64,Belfast HSCT,20
Bladder Cancer,Male,10-year,55-64,Northern HSCT,28
Bladder Cancer,Male,10-year,55-64,South Eastern HSCT,21
Bladder Cancer,Male,10-year,55-64,Southern HSCT,15
Bladder Cancer,Male,10-year,55-64,Western HSCT,20
Bladder Cancer,Male,10-year,65-74,Belfast HSCT,41
Bladder Cancer,Male,10-year,65-74,Northern HSCT,59
Bladder Cancer,Male,10-year,65-74,South Eastern HSCT,48
Bladder Cancer,Male,10-year,65-74,Southern HSCT,31
Bladder Cancer,Male,10-year,65-74,Western HSCT,37
Bladder Cancer,Male,10-year,75+,Belfast HSCT,79
Bladder Cancer,Male,10-year,75+,Northern HSCT,112
Bladder Cancer,Male,10-year,75+,South Eastern HSCT,95
Bladder Cancer,Male,10-year,75+,Southern HSCT,59
Bladder Cancer,Male,10-year,75+,Western HSCT,74
Blood Leukaemia,Male,10-year,0-54,Belfast HSCT,46
Blood Leukaemia,Male,10-year,0-54,Northern HSCT,67
Blood Leukaemia,Male,10-year,0-54,South Eastern HSCT,54
Blood Leukaemia,Male,10-year,0-54,Southern HSCT,50
Blood Leukaemia,Male,10-year,0-54,Western HSCT,39
Blood Leukaemia,Male,10-year,55-64,Belfast HSCT,27
Blood Leukaemia,Male,10-year,55-64,Northern HSCT,41
Blood Leukaemia,Male,10-year,55-64,South Eastern HSCT,33
Blood Leukaemia,Male,10-year,55-64,Southern HSCT,31
Blood Leukaemia,Male,10-year,55-64,Western HSCT,24
Blood Leukaemia,Male,10-year,65-74,Belfast HSCT,36
Blood Leukaemia,Male,10-year,65-74,Northern HSCT,55
Blood Leukaemia,Male,10-year,65-74,South Eastern HSCT,44
Blood Leukaemia,Male,10-year,65-74,Southern HSCT,42
Blood Leukaemia,Male,10-year,65-74,Western HSCT,32
Blood Leukaemia,Male,10-year,75+,Belfast HSCT,38
Blood Leukaemia,Male,10-year,75+,Northern HSCT,58
Blood Leukaemia,Male,10-year,75+,South Eastern HSCT,46
Blood Leukaemia,Male,10-year,75+,Southern HSCT,45
Blood Leukaemia,Male,10-year,75+,Western HSCT,33
Blood Lymphoma,Male,10-year,0-54,Belfast HSCT,62
