sex,age,deprivation,hsct,geo,smoking,probability
Males,16-34,Most Deprived,BHSCT,Urban,current_smoker,5.794542780426844e-4
Females,16-34,Most Deprived,BHSCT,Urban,current_smoker,3.4172944602517283e-4
Males,35-44,Most Deprived,BHSCT,Urban,current_smoker,4.457340600328338e-4
Females,35-44,Most Deprived,BHSCT,Urban,current_smoker,3.565872480262669e-4
Males,45-54,Most Deprived,BHSCT,Urban,current_smoker,4.457340600328341e-4
Females,45-54,Most Deprived,BHSCT,Urban,current_smoker,4.308762580317395e-4
Males,55-64,Most Deprived,BHSCT,Urban,current_smoker,4.1601845603064525e-4
Females,55-64,Most Deprived,BHSCT,Urban,current_smoker,5.200230700383063e-4
Males,65-74,Most Deprived,BHSCT,Urban,current_smoker,4.011606540295506e-4
Females,65-74,Most Deprived,BHSCT,Urban,current_smoker,3.714450500273618e-4
Males,75-110,Most Deprived,BHSCT,Urban,current_smoker,1.7829362401313356e-4
Females,75-110,Most Deprived,BHSCT,Urban,current_smoker,1.3372021800985015e-4
Males,16-34,Quintile 2,BHSCT,Urban,current_smoker,4.4383731935184286e-4
Females,16-34,Quintile 2,BHSCT,Urban,current_smoker,2.617502139767279e-4
Males,35-44,Quintile 2,BHSCT,Urban,current_smoker,3.414133225783406e-4
Females,35-44,Quintile 2,BHSCT,Urban,current_smoker,2.731306580626723e-4
Males,45-54,Quintile 2,BHSCT,Urban,current_smoker,3.4141332257834066e-4
Females,45-54,Quintile 2,BHSCT,Urban,current_smoker,3.3003287849239587e-4
Males,55-64,Quintile 2,BHSCT,Urban,current_smoker,3.1865243440645156e-4
Females,55-64,Quintile 2,BHSCT,Urban,current_smoker,3.98315543008064e-4
Males,65-74,Quintile 2,BHSCT,Urban,current_smoker,3.072719903205066e-4
Females,65-74,Quintile 2,BHSCT,Urban,current_smoker,2.8451110214861735e-4
Males,75-110,Quintile 2,BHSCT,Urban,current_smoker,1.3656532903133625e-4
Females,75-110,Quintile 2,BHSCT,Urban,current_smoker,1.0242399677350216e-4
Males,16-34,Quintile 3,BHSCT,Urban,current_smoker,2.712339173816823e-4
Females,16-34,Quintile 3,BHSCT,Urban,current_smoker,1.5995846409688956e-4
Males,35-44,Quintile 3,BHSCT,Urban,current_smoker,2.086414749089863e-4
Females,35-44,Quintile 3,BHSCT,Urban,current_smoker,1.6691317992718899e-4
Males,45-54,Quintile 3,BHSCT,Urban,current_smoker,2.0864147490898637e-4
Females,45-54,Quintile 3,BHSCT,Urban,current_smoker,2.0168675907868678e-4
Males,55-64,Quintile 3,BHSCT,Urban,current_smoker,1.9473204324838743e-4
Females,55-64,Quintile 3,BHSCT,Urban,current_smoker,2.4341505406048403e-4
Males,65-74,Quintile 3,BHSCT,Urban,current_smoker,1.8777732741808776e-4
Females,65-74,Quintile 3,BHSCT,Urban,current_smoker,1.738678957574887e-4
Males,75-110,Quintile 3,BHSCT,Urban,current_smoker,8.345658996359455e-5
Females,75-110,Quintile 3,BHSCT,Urban,current_smoker,6.259244247269589e-5
Males,16-34,Quintile 4,BHSCT,Urban,current_smoker,2.465762885288017e-4
Females,16-34,Quintile 4,BHSCT,Urban,current_smoker,1.4541678554262663e-4
Males,35-44,Quintile 4,BHSCT,Urban,current_smoker,1.8967406809907816e-4
Females,35-44,Quintile 4,BHSCT,Urban,current_smoker,1.5173925447926247e-4
Males,45-54,Quintile 4,BHSCT,Urban,current_smoker,1.8967406809907822e-4
Females,45-54,Quintile 4,BHSCT,Urban,current_smoker,1.833515991624422e-4
Males,55-64,Quintile 4,BHSCT,Urban,current_smoker,1.7702913022580645e-4
Females,55-64,Quintile 4,BHSCT,Urban,current_smoker,2.212864127822578e-4
Males,65-74,Quintile 4,BHSCT,Urban,current_smoker,1.7070666128917033e-4
Females,65-74,Quintile 4,BHSCT,Urban,current_smoker,1.5806172341589853e-4
Males,75-110,Quintile 4,BHSCT,Urban,current_smoker,7.586962723963126e-5
Females,75-110,Quintile 4,BHSCT,Urban,current_smoker,5.6902220429723436e-5
Males,16-34,Least Deprived,BHSCT,Urban,current_smoker,1.7260340197016138e-4
Females,16-34,Least Deprived,BHSCT,Urban,current_smoker,1.0179174987983875e-4
Males,35-44,Least Deprived,BHSCT,Urban,current_smoker,1.327718476693548e-4
Females,35-44,Least Deprived,BHSCT,Urban,current_smoker,1.0621747813548383e-4
Males,45-54,Least Deprived,BHSCT,Urban,current_smoker,1.3277184766935494e-4
Females,45-54,Least Deprived,BHSCT,Urban,current_smoker,1.283461194137097e-4
