sex,age,deprivation,hsct,geo,wellbeing,probability,percentage
Males,16-34,Most Deprived,BHSCT,Urban,good_wellbeing,4.841645259862677e-4,0.04841645259862677
Females,16-34,Most Deprived,BHSCT,Urban,good_wellbeing,3.969276744572105e-4,0.03969276744572105
Males,35-44,Most Deprived,BHSCT,Urban,good_wellbeing,4.885263685627207e-4,0.04885263685627207
Females,35-44,Most Deprived,BHSCT,Urban,good_wellbeing,4.0128951703366326e-4,0.040128951703366326
Males,45-54,Most Deprived,BHSCT,Urban,good_wellbeing,4.5799347052755064e-4,0.04579934705275506
Females,45-54,Most Deprived,BHSCT,Urban,good_wellbeing,3.8820398930430465e-4,0.03882039893043047
Males,55-64,Most Deprived,BHSCT,Urban,good_wellbeing,4.7980268340981483e-4,0.047980268340981486
Females,55-64,Most Deprived,BHSCT,Urban,good_wellbeing,4.012895170336635e-4,0.04012895170336635
Males,65-74,Most Deprived,BHSCT,Urban,good_wellbeing,4.972500537156262e-4,0.049725005371562624
Females,65-74,Most Deprived,BHSCT,Urban,good_wellbeing,4.3618425764528623e-4,0.04361842576452862
Males,75-110,Most Deprived,BHSCT,Urban,good_wellbeing,5.190592665978908e-4,0.051905926659789076
Females,75-110,Most Deprived,BHSCT,Urban,good_wellbeing,4.667171556804563e-4,0.04667171556804563
Males,16-34,Quintile 2,BHSCT,Urban,good_wellbeing,5.385650345240507e-4,0.05385650345240507
Females,16-34,Quintile 2,BHSCT,Urban,good_wellbeing,4.415262895647623e-4,0.04415262895647623
Males,35-44,Quintile 2,BHSCT,Urban,good_wellbeing,5.434169717720151e-4,0.05434169717720151
Females,35-44,Quintile 2,BHSCT,Urban,good_wellbeing,4.463782268127266e-4,0.04463782268127266
Males,45-54,Quintile 2,BHSCT,Urban,good_wellbeing,5.094534110362645e-4,0.050945341103626446
Females,45-54,Quintile 2,BHSCT,Urban,good_wellbeing,4.3182241506883336e-4,0.04318224150688334
Males,55-64,Quintile 2,BHSCT,Urban,good_wellbeing,5.337130972760863e-4,0.053371309727608625
